user_id,monetary,recency,frequency,cluster,cluster_name
45570169,20000,365,1,1,lowest-spending users
43379557,10000,328,1,1,lowest-spending users
53478612,20000,322,1,1,lowest-spending users
38980025,100000,199,1,0,low-moderate-spending users
52067990,10000,40,1,1,lowest-spending users
43871455,20000,281,1,1,lowest-spending users
41540712,100000,174,1,0,low-moderate-spending users
37295635,20000,108,1,1,lowest-spending users
30924097,10000,41,1,1,lowest-spending users
60061617,100000,3,1,0,low-moderate-spending users
48190263,50000,292,1,5, low_spending users
40344167,50000,256,1,5, low_spending users
41729150,50000,213,1,5, low_spending users
49956920,50000,204,1,5, low_spending users
57995722,20000,135,1,1,lowest-spending users
6709219,100000,93,1,0,low-moderate-spending users
42622596,50000,6,1,5, low_spending users
52704502,10000,12,1,1,lowest-spending users
46820617,20000,205,1,1,lowest-spending users
46724049,20000,150,1,1,lowest-spending users
21319834,10000,123,1,1,lowest-spending users
43644689,100000,350,1,0,low-moderate-spending users
1945300,200000,190,1,2,moderate-spending users
54784606,50000,157,1,5, low_spending users
51705200,100000,318,1,0,low-moderate-spending users
51061234,50000,277,1,5, low_spending users
46841842,20000,163,1,1,lowest-spending users
49511717,50000,121,1,5, low_spending users
59089136,20000,83,1,1,lowest-spending users
40546714,10000,23,1,1,lowest-spending users
42501809,50000,308,1,5, low_spending users
23491900,20000,278,1,1,lowest-spending users
38611639,50000,217,1,5, low_spending users
53081670,10000,183,1,1,lowest-spending users
46872954,50000,181,1,5, low_spending users
52114562,10000,132,1,1,lowest-spending users
1912960,100000,126,1,0,low-moderate-spending users
28327930,100000,365,1,0,low-moderate-spending users
35259739,10000,277,1,1,lowest-spending users
48786881,30000,234,1,1,lowest-spending users
49840401,10000,213,1,1,lowest-spending users
40930875,30000,200,1,1,lowest-spending users
45235597,50000,136,1,5, low_spending users
48235653,10000,129,1,1,lowest-spending users
57672726,10000,17,1,1,lowest-spending users
41479570,10000,4,1,1,lowest-spending users
39324799,50000,5,1,5, low_spending users
46140381,50000,346,1,5, low_spending users
15146798,10000,323,1,1,lowest-spending users
1223919,200000,279,1,2,moderate-spending users
34115754,20000,248,1,1,lowest-spending users
17506143,100000,252,1,0,low-moderate-spending users
8228852,100000,203,1,0,low-moderate-spending users
47967381,50000,197,1,5, low_spending users
43087381,100000,81,1,0,low-moderate-spending users
49656477,10000,277,1,1,lowest-spending users
43404014,10000,276,1,1,lowest-spending users
8262835,20000,227,1,1,lowest-spending users
35614477,10000,154,1,1,lowest-spending users
48145955,20000,141,1,1,lowest-spending users
32216849,20000,99,1,1,lowest-spending users
49894719,50000,10,1,5, low_spending users
46788208,10000,291,1,1,lowest-spending users
54960624,100000,149,1,0,low-moderate-spending users
45891860,20000,46,1,1,lowest-spending users
51254332,100000,19,1,0,low-moderate-spending users
32374344,200000,326,1,2,moderate-spending users
57950670,100000,78,1,0,low-moderate-spending users
21687161,100000,352,1,0,low-moderate-spending users
24396784,10000,126,1,1,lowest-spending users
29992423,50000,101,1,5, low_spending users
51358016,10000,100,1,1,lowest-spending users
53424924,10000,95,1,1,lowest-spending users
23982570,20000,82,1,1,lowest-spending users
47548255,60000,63,2,5, low_spending users
49362758,10000,326,1,1,lowest-spending users
49495942,50000,252,1,5, low_spending users
53206894,20000,232,1,1,lowest-spending users
41318368,50000,178,1,5, low_spending users
46911059,100000,154,1,0,low-moderate-spending users
54669607,10000,285,1,1,lowest-spending users
47009470,20000,180,1,1,lowest-spending users
54822857,20000,68,1,1,lowest-spending users
41574257,50000,363,1,5, low_spending users
36056863,50000,315,1,5, low_spending users
55218279,10000,239,1,1,lowest-spending users
36585369,50000,227,1,5, low_spending users
43033870,100000,193,1,0,low-moderate-spending users
46221972,200000,102,1,2,moderate-spending users
33826180,20000,22,1,1,lowest-spending users
48340619,50000,22,1,5, low_spending users
52307145,50000,361,1,5, low_spending users
45957662,10000,297,1,1,lowest-spending users
26145041,20000,285,1,1,lowest-spending users
52158309,100000,268,1,0,low-moderate-spending users
19586201,10000,208,1,1,lowest-spending users
27213122,100000,148,1,0,low-moderate-spending users
50028218,20000,135,1,1,lowest-spending users
46448707,20000,112,1,1,lowest-spending users
56917362,10000,28,1,1,lowest-spending users
49482225,20000,19,1,1,lowest-spending users
48443527,100000,15,1,0,low-moderate-spending users
40944217,20000,10,1,1,lowest-spending users
37166281,20000,255,1,1,lowest-spending users
19748293,50000,189,1,5, low_spending users
47692162,10000,123,1,1,lowest-spending users
55166832,20000,118,1,1,lowest-spending users
60555948,10000,6,1,1,lowest-spending users
43135304,50000,5,1,5, low_spending users
38441824,20000,362,1,1,lowest-spending users
50421413,10000,308,1,1,lowest-spending users
54277869,100000,255,1,0,low-moderate-spending users
14751353,20000,180,1,1,lowest-spending users
56504768,100000,148,1,0,low-moderate-spending users
38772128,50000,98,1,5, low_spending users
48610388,10000,81,1,1,lowest-spending users
40604547,20000,32,1,1,lowest-spending users
31121563,50000,26,1,5, low_spending users
51464877,20000,311,1,1,lowest-spending users
12942392,50000,237,1,5, low_spending users
40262859,200000,218,1,2,moderate-spending users
50847672,20000,200,1,1,lowest-spending users
